datetime,total_vol
2/19/2012,81468
2/20/2012,105324
2/21/2012,103033
2/22/2012,146255
2/23/2012,125333
2/24/2012,167523
2/25/2012,181916
2/26/2012,89343
2/27/2012,91803
2/28/2012,117586
2/29/2012,104815
3/1/2012,159214
3/2/2012,233408
3/3/2012,158572
3/4/2012,96622
3/5/2012,88589
3/6/2012,116310
3/7/2012,110238
3/8/2012,97057
3/9/2012,107066
3/10/2012,102401
3/11/2012,73297
3/12/2012,108891
3/13/2012,135029
3/14/2012,118761
3/15/2012,156955
3/16/2012,138815
3/17/2012,89781
3/18/2012,90067
3/19/2012,115337
3/20/2012,122659
3/21/2012,146266
3/22/2012,126082
3/23/2012,127626
3/24/2012,103797
3/25/2012,126527
3/26/2012,111346
3/27/2012,136448
3/28/2012,134818
3/29/2012,142839
3/30/2012,138699
3/31/2012,114701
4/1/2012,91777
4/2/2012,111515
4/3/2012,153329
4/4/2012,156515
4/5/2012,167750
4/6/2012,180108
4/7/2012,108965
4/8/2012,85880
4/9/2012,258683
4/10/2012,256832
4/11/2012,139353
4/12/2012,255538
4/13/2012,194199
4/14/2012,187669
4/15/2012,86481
4/16/2012,163626
4/17/2012,218911
4/18/2012,177576
4/19/2012,200127
4/20/2012,222789
4/21/2012,170294
4/22/2012,176558
4/23/2012,117303
4/24/2012,155892
4/25/2012,152672
4/26/2012,204850
4/27/2012,146061
4/28/2012,132700
4/29/2012,159550
4/30/2012,114217
5/1/2012,153138
5/2/2012,154489
5/3/2012,175808
5/4/2012,142690
5/5/2012,145963
5/6/2012,195692
5/7/2012,175656
5/8/2012,171860
5/9/2012,223461
5/10/2012,234315
5/11/2012,226321
5/12/2012,173557
5/13/2012,142335
5/14/2012,140309
5/15/2012,225192
5/16/2012,187808
5/17/2012,160677
5/18/2012,256283
5/19/2012,148746
5/20/2012,148099
5/21/2012,212253
5/22/2012,273824
5/23/2012,210481
5/24/2012,152567
5/25/2012,161432
5/26/2012,143467
5/27/2012,133162
5/28/2012,149480
5/29/2012,200435
5/30/2012,198600
5/31/2012,211059
6/1/2012,620176
6/2/2012,187427
6/3/2012,113586
6/4/2012,210401
6/5/2012,240143
6/6/2012,194682
6/7/2012,222169
6/8/2012,245423
6/9/2012,230720
6/10/2012,151320
6/11/2012,176125
6/12/2012,204751
6/13/2012,264527
6/14/2012,180476
6/15/2012,202779
6/16/2012,269180
6/17/2012,160771
6/18/2012,195271
6/19/2012,216606
6/20/2012,255334
6/21/2012,189732
6/22/2012,246424
6/23/2012,158649
6/24/2012,266416
6/25/2012,185585
6/26/2012,299260
6/27/2012,241559
6/28/2012,231983
6/29/2012,148066
6/30/2012,143265
7/1/2012,100009
7/2/2012,144841
7/3/2012,279930
7/4/2012,229932
7/5/2012,182314
7/6/2012,196755
7/7/2012,161188
7/8/2012,128521
7/9/2012,186360
7/10/2012,242267
7/11/2012,207265
7/12/2012,241779
7/13/2012,317339
7/14/2012,303924
7/15/2012,147666
7/16/2012,200425
7/17/2012,411541
7/18/2012,293536
7/19/2012,184475
7/20/2012,248806
7/21/2012,228266
7/22/2012,138685
7/23/2012,199654
7/24/2012,226600
7/25/2012,194555
7/26/2012,240324
7/27/2012,166097
7/28/2012,137658
7/29/2012,130737
7/30/2012,155640
7/31/2012,303817
8/1/2012,272382
8/2/2012,269419
8/3/2012,266316
8/4/2012,168603
8/5/2012,142755
8/6/2012,178831
8/7/2012,191484
8/8/2012,199337
8/9/2012,240172
8/10/2012,215118
8/11/2012,145931
8/12/2012,96764
8/13/2012,178245
8/14/2012,242063
8/15/2012,176892
8/16/2012,202852
8/17/2012,217005
8/18/2012,270117
8/19/2012,363658
8/20/2012,676367
8/21/2012,305513
8/22/2012,364458
8/23/2012,258871
8/24/2012,216717
8/25/2012,238920
8/26/2012,185106
8/27/2012,276594
8/28/2012,227807
8/29/2012,244092
8/30/2012,228491
8/31/2012,380184
9/1/2012,154330
9/2/2012,132180
9/3/2012,172793
9/4/2012,237414
9/5/2012,213132
9/6/2012,290474
9/7/2012,192472
9/8/2012,177489
9/9/2012,342560
9/10/2012,419036
9/11/2012,301434
9/12/2012,260429
9/13/2012,260319
9/14/2012,210766
9/15/2012,231822
9/16/2012,137402
9/17/2012,225829
9/18/2012,274038
9/19/2012,227880
9/20/2012,254127
9/21/2012,525866
9/22/2012,243919
9/23/2012,126179
9/24/2012,247280
9/25/2012,244492
9/26/2012,226977
9/27/2012,235517
9/28/2012,230155
9/29/2012,222570
9/30/2012,174828
10/1/2012,188155
10/2/2012,272016
10/3/2012,255434
10/4/2012,254159
10/5/2012,246700
10/6/2012,136053
10/7/2012,127319
10/8/2012,220545
10/9/2012,204871
10/10/2012,202675
10/11/2012,211860
10/12/2012,213517
10/13/2012,143965
10/14/2012,135676
10/15/2012,175309
10/16/2012,227634
10/17/2012,221982
10/18/2012,225076
10/19/2012,210598
10/20/2012,277981
10/21/2012,173373
10/22/2012,210153
10/23/2012,273353
10/24/2012,320028
10/25/2012,321376
10/26/2012,237575
